pic_name,class,row,col
3271320127067,xuhan,3,4
3271320127067,xuhan,3,6
3271320127067,xuhan,3,7
3271320127067,xuhan,3,8
3271320127067,xuhan,3,11
3271320127067,xuhan,3,12
3271320127067,xuhan,4,4
3271320127067,xuhan,4,5
3271320127067,xuhan,4,7
3271320127067,xuhan,4,10
3271320127067,xuhan,4,12
3271320127067,xuhan,5,2
3271320127067,xuhan,5,3
3271320127067,xuhan,5,4
3271320127067,xuhan,5,5
3271320127067,xuhan,5,6
3271320127067,xuhan,5,7
3271320127067,xuhan,5,8
3271320127067,xuhan,5,9
3271320127067,xuhan,5,10
3271320127067,xuhan,5,11
3271320127067,xuhan,6,2
3271320127067,xuhan,6,4
3271320127067,xuhan,6,8
3271320127067,xuhan,6,9
3271320127067,xuhan,6,10
3271320127067,xuhan,6,11
3271320127067,xuhan,6,12
3271321123000,xuhan,6,12
3271321123000,xuhan,4,1
3271321123026,xuhan,6,2
3271321123049,xuhan,3,7
3271321123060,xuhan,5,3
3271321123062,xuhan,2,12
3271321123062,xuhan,2,8
3271321123062,xuhan,2,5
3271321123062,xuhan,2,1
3271321123089,xuhan,2,1
3271321123134,xuhan,1,9
3271321123134,xuhan,1,11
3271321123148,xuhan,4,1
3271321123180,xuhan,2,5
3271321123182,xuhan,3,1
3271321123182,xuhan,3,2
3271321123182,xuhan,3,3
3271321123182,xuhan,3,4
3271321123182,xuhan,3,5
3271321123182,xuhan,3,6
3271321123182,xuhan,3,7
3271321123182,xuhan,3,8
3271321123196,xuhan,2,1
3271321123196,xuhan,2,2
3271321123196,xuhan,2,3
3271321123196,xuhan,2,4
3271321123196,xuhan,2,5
3271321123198,xuhan,6,11
3271321123228,xuhan,6,1
3271321123273,xuhan,5,5
3271321123293,xuhan,6,1
3271321123307,xuhan,6,11
3271321123333,xuhan,3,12
3271321123333_1,xuhan,3,12
3271321123426,xuhan,6,5
3271321123426,xuhan,6,6
3271321123426,xuhan,6,7
3271321123426,xuhan,6,9
3271321123426,xuhan,6,11
3271321123426,xuhan,6,12
3271321123438,xuhan,4,7
3271321123438,xuhan,4,9
3271321123438,xuhan,4,12
3271321123497,xuhan,5,4
3271321123501,xuhan,3,6
3271321123501,xuhan,3,8
3271321123511,xuhan,4,9
3271321123532,xuhan,4,5
3271321123532,xuhan,4,4
3271321123534,xuhan,5,6
3271321123534,xuhan,3,2
3271321123544,xuhan,3,12
3271321123682,xuhan,5,1
3271321123728,xuhan,6,1
3271321123740,xuhan,6,1
3271321123744,xuhan,6,1
3271321123789,xuhan,5,9
3271321123807,xuhan,6,6
3271321123863,xuhan,2,11
3271321123863,xuhan,2,10
3271321123863,xuhan,2,9
3271321123879,xuhan,1,3
3271321126098,xuhan,3,12
3271321126280,xuhan,4,1
3271321126283,xuhan,1,10
3271321126288,xuhan,6,5
3271321124265,xuhan,4,4
3271321124525,xuhan,1,5
3271321124638,xuhan,1,12
3271321124719_1,xuhan,3,1
3271321124789,xuhan,3,9
3271315126385,xuhan,4,1
3271315126385,xuhan,4,3
3271315126770_1,xuhan,4,9
3271315126770_1,xuhan,4,10
3271315126770_1,xuhan,5,1
3271315126770_1,xuhan,6,9
3271315126770_1,yinlie,1,10
3271315126770_1,yinlie,5,8
3271315126852,xuhan,4,4
3271315127218,xuhan,6,10
3271315127584,xuhan,2,4
3271316126000,xuhan,3,9
3271316126017,xuhan,2,11
3271316126017,xuhan,5,8
3271316126034,xuhan,5,12
3271316126065,xuhan,5,6
3271316126065,xuhan,6,1
3271316126100,xuhan,5,1
3271316126100,xuhan,5,9
3271316126100,xuhan,5,10
3271316126108,xuhan,4,7
3271316126111,xuhan,1,4
3271316126111,xuhan,1,5
3271316126111,xuhan,1,7
3271316126138,xuhan,6,12
3271316126158,xuhan,6,7
3271316126174,xuhan,6,10
3271316126175,xuhan,1,2
3271316126201,xuhan,2,11
3271316126219,xuhan,3,4
3271316126224,xuhan,5,4
3271316126227,xuhan,4,12
3271316126234,xuhan,4,11
3271316126237_1,xuhan,1,6
3271316126251,xuhan,2,10
3271316126261,xuhan,2,7
3271316126261_1,xuhan,2,7
3271316126269,xuhan,6,4
3271316126269_1,xuhan,6,4
3271316126308,xuhan,4,2
3271316126311,xuhan,4,2
3271316126311,xuhan,6,7
3271316126311_1,xuhan,6,7
3271316126339,xuhan,2,9
3271316126394,xuhan,5,8
3271316126406,xuhan,4,8
3271316126420,xuhan,1,12
3271316126422,xuhan,1,12
3271316126422,xuhan,2,2
3271316126422,xuhan,5,6
3271316126422_1,xuhan,2,2
3271316126422_2,xuhan,2,2
3271316126427,xuhan,5,11
3271316126432,xuhan,2,1
3271316126438,xuhan,5,5
3271316126438_1,xuhan,5,5
3271316126473,xuhan,2,4
3271316126473,xuhan,4,7
3271316126478,xuhan,4,2
3271316126487,xuhan,1,7
3271316126487,xuhan,2,2
3271316126487,xuhan,3,11
3271316126488,xuhan,2,7
3271316126488,xuhan,3,11
3271316126488_1,xuhan,2,7
3271316126488_1,xuhan,3,11
3271316126494,xuhan,2,9
3271316126494,xuhan,4,12
3271316126495,xuhan,1,3
3271316126507,xuhan,6,8
3271316126513,xuhan,6,12
3271316126517,xuhan,2,7
3271316126517_1,xuhan,2,7
3271316126518,xuhan,4,6
3271316126518,xuhan,4,7
3271316126518,xuhan,4,8
3271316126518_1,xuhan,4,6
3271316126518_1,xuhan,4,7
3271316126518_1,xuhan,4,8
3271316126564,xuhan,3,5
3271316126574,xuhan,6,6
3271316126583,xuhan,6,7
3271316126585,xuhan,5,11
3271316126601,xuhan,4,5
3271316126601,xuhan,5,4
3271316126633,xuhan,1,11
3271316126633_1,xuhan,1,11
3271316126647,xuhan,5,1
3271316126647,xuhan,5,5
3271316126667,xuhan,5,5
3271316126669,xuhan,1,8
3271316126669,xuhan,3,6
3271316126671,xuhan,1,1
3271316126671,xuhan,1,2
3271316126671,xuhan,1,3
3271316126671,xuhan,1,4
3271316126671,xuhan,1,8
3271316126686,xuhan,5,4
3271316126687,xuhan,4,4
3271316126688,xuhan,4,2
3271316126688_1,xuhan,4,2
3271316126690,xuhan,3,6
3271316126690_1,xuhan,3,6
3271316126691,xuhan,5,12
3271316126692,xuhan,3,6
3271316126707,xuhan,2,2
3271316126707,xuhan,2,3
3271316126707_1,xuhan,2,3
3271316126707_2,xuhan,2,3
3271316126716,xuhan,2,1
3271316126716,xuhan,3,3
3271316126716,xuhan,4,9
3271316126716,xuhan,6,1
3271316126716,xuhan,6,5
3271316126716,xuhan,1,12
3271316126716_1,xuhan,2,1
3271316126716_1,xuhan,3,3
3271316126718,xuhan,1,4
3271316126718,xuhan,1,10
3271316126718,xuhan,2,5
3271316126718,xuhan,3,8
3271316126718,xuhan,3,12
3271316126718,xuhan,4,1
3271316126739,xuhan,2,2
3271316126739,xuhan,2,1
3271316126756,xuhan,5,11
3271316126758,xuhan,3,2
3271316126769,xuhan,6,11
3271316126773,xuhan,6,6
3271316126777,xuhan,2,9
3271316126781,xuhan,3,7
3271316126782,xuhan,6,10
3271316126788,xuhan,1,9
3271316126796,xuhan,1,1
3271316126801,xuhan,2,3
3271316126803,xuhan,3,1
3271316126811,xuhan,2,10
3271316126811,xuhan,4,11
3271315126475,yinlie,2,4
3271315126475,yinlie,2,3
3271315126475,xuhan,4,6
3271315126475,xuhan,4,12
3271315126801,yinlie,6,7
3271315126801_1,yinlie,6,7
3271315126801,xuhan,6,6
3271315127715,yinlie,2,10
3271316126007,yinlie,2,12
3271316126007,yinlie,5,1
3271316126117,yinlie,5,11
3271316126118,yinlie,3,1
3271316126168,yinlie,5,11
3271316126168,xuhan,1,12
3271316126188,yinlie,6,12
3271316126192,yinlie,4,12
3271316126231,yinlie,4,12
3271316126232,yinlie,1,1
3271316126308_1,yinlie,4,2
3271316126324,yinlie,4,8
3271316126376,yinlie,5,5
3271316126437,yinlie,5,1
3271316126444,yinlie,5,1
3271316126631,yinlie,4,4
3271316126631,yinlie,2,2
3271316126666,yinlie,6,12
3271316126679,yinlie,6,7
3271316126712,yinlie,2,8
3271316126780,yinlie,1,12
3271316126780,xuhan,4,5
3271315126852_1,yinlie,4,5
3271316126598_1,yinlie,4,3
3271316126036,yinlie,1,1
3271316126045,yinlie,1,2
3271316126165,yinlie,1,3
3271316126647_1,xuhan,5,1
3271320123951,xuhan,6,3
3271320123951,xuhan,6,5
3271320123951,xuhan,6,6
3271320123951,xuhan,6,8
3271320123951,xuhan,6,9
3271320123951,xuhan,6,10
3271320123951,xuhan,6,11
3271320123951,xuhan,6,12
3271320124149,xuhan,2,11
3271320124177,xuhan,1,12
3271321124689_1,xuhan,5,3
3271321124714,xuhan,3,4
3271320123989,yinlie,5,3
3271320124109_1,yinlie,2,2
3271320124186,yinlie,3,6
3271320124190,yinlie,4,3
3271320124283_1,yinlie,3,12
3271320124283_2,yinlie,3,12
3271320124305,yinlie,1,7
3271320124308,yinlie,3,2
3271320124321,yinlie,6,12
3271321123416,yinlie,5,3
3271321124003,yinlie,3,1
3271321124652,yinlie,1,4
3271321124749,yinlie,1,12
