Record,Date/Time,10,Tamb(C),Rh(%),Pres(hPa),Tir(¡æ),Rain,Vint(cm),Lqint(mm),CloudBase(km),0.000km,0.050km,0.100km,0.150km,0.200km,0.250km,0.300km,0.350km,0.400km,0.450km,0.500km,0.600km,0.700km,0.800km,0.900km,1.000km,1.100km,1.200km,1.300km,1.400km,1.500km,1.600km,1.700km,1.800km,1.900km,2.000km,2.250km,2.500km,2.750km,3.000km,3.250km,3.500km,3.750km,4.000km,4.250km,4.500km,4.750km,5.000km,5.250km,5.500km,5.750km,6.000km,6.250km,6.500km,6.750km,7.000km,7.250km,7.500km,7.750km,8.000km,8.250km,8.500km,8.750km,9.000km,9.250km,9.500km,9.750km,10.000km
11,2018-08-02 00:10:30,12,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,22.665,22.986,22.843,22.551,22.267,21.991,21.689,21.360,21.008,20.668,20.210,19.542,18.711,17.915,17.247,16.688,16.113,15.497,14.866,14.273,13.763,13.288,12.749,12.148,11.668,11.009,10.084,8.906,7.818,6.779,5.862,5.091,4.414,3.838,3.367,2.994,2.700,2.453,2.226,2.007,1.801,1.624,1.478,1.356,1.246,1.132,1.012,0.888,0.766,0.654,0.550,0.455,0.368,0.294,0.232,0.182,0.140,0.109
12,2018-08-02 00:10:30,13,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,80.901,82.396,82.872,83.129,83.162,83.172,83.034,82.804,82.374,81.713,80.861,79.603,77.840,75.910,74.374,73.388,72.548,71.401,70.101,68.868,68.210,67.801,67.090,66.042,65.390,64.637,63.549,61.062,58.279,54.973,52.032,49.346,46.989,44.895,43.227,42.441,42.231,42.119,41.684,41.114,40.193,39.587,39.680,40.490,41.414,41.800,40.633,39.193,37.309,35.205,33.185,31.199,28.731,26.076,23.773,21.472,19.207,17.721
13,2018-08-02 00:10:30,14,28.400,80.900,1001.700,-3.26,0,4.756,0.156,6.141,0.013,0.018,0.021,0.023,0.027,0.027,0.030,0.030,0.033,0.034,0.037,0.040,0.042,0.042,0.039,0.035,0.035,0.035,0.034,0.035,0.034,0.032,0.030,0.030,0.026,0.027,0.024,0.024,0.022,0.023,0.021,0.020,0.017,0.018,0.016,0.016,0.016,0.014,0.014,0.013,0.013,0.012,0.010,0.010,0.010,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
14,2018-08-02 00:14:24,11,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,28.500,28.252,27.953,27.616,27.318,27.038,26.772,26.501,26.225,26.015,25.715,25.287,24.795,24.364,23.946,23.489,22.967,22.440,21.920,21.453,20.923,20.379,19.788,19.189,18.651,17.862,16.665,15.263,13.980,12.716,11.383,10.052,8.673,7.256,5.885,4.420,3.003,1.638,0.354,-0.959,-2.186,-3.430,-4.784,-6.268,-7.749,-9.185,-10.327,-11.570,-12.810,-14.127,-15.560,-17.101,-18.591,-20.074,-21.675,-23.305,-24.979,-26.774
15,2018-08-02 00:14:24,12,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,22.620,22.950,22.808,22.519,22.238,21.966,21.668,21.343,20.997,20.662,20.210,19.552,18.734,17.953,17.299,16.749,16.185,15.579,14.960,14.377,13.873,13.405,12.874,12.285,11.812,11.164,10.257,9.105,8.038,7.008,6.087,5.306,4.617,4.026,3.539,3.151,2.844,2.583,2.342,2.109,1.893,1.704,1.550,1.423,1.306,1.186,1.058,0.925,0.797,0.678,0.567,0.468,0.379,0.302,0.239,0.186,0.144,0.112
16,2018-08-02 00:14:24,13,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,80.301,82.583,83.431,83.913,84.241,84.507,84.599,84.594,84.507,84.137,83.690,82.925,81.685,80.207,79.135,78.631,78.280,77.658,76.835,75.858,75.479,75.276,74.838,73.971,73.419,72.716,71.765,69.341,66.201,62.402,58.906,55.847,53.069,50.708,48.755,47.824,47.450,47.281,46.804,46.173,45.153,44.406,44.508,45.483,46.555,47.054,45.738,43.989,41.681,39.268,36.811,34.356,31.380,28.233,25.536,22.828,20.450,18.523
17,2018-08-02 00:14:24,14,28.500,80.300,1001.700,24.67,0,4.798,0.158,0.729,0.012,0.017,0.020,0.022,0.026,0.026,0.029,0.029,0.032,0.033,0.037,0.040,0.043,0.043,0.040,0.036,0.036,0.036,0.035,0.036,0.036,0.034,0.031,0.032,0.028,0.029,0.026,0.026,0.024,0.025,0.023,0.021,0.019,0.020,0.018,0.018,0.017,0.015,0.015,0.014,0.015,0.013,0.011,0.011,0.011,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,2018-08-02 00:18:17,11,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,28.600,28.191,27.818,27.424,27.057,26.732,26.428,26.120,25.770,25.514,25.149,24.653,24.094,23.626,23.149,22.662,22.104,21.540,20.975,20.529,20.022,19.485,18.897,18.314,17.808,17.086,15.994,14.685,13.466,12.315,11.100,9.875,8.579,7.228,5.894,4.451,3.067,1.732,0.457,-0.881,-2.100,-3.322,-4.679,-6.140,-7.567,-8.978,-10.124,-11.300,-12.472,-13.776,-15.198,-16.691,-18.098,-19.472,-20.952,-22.541,-24.222,-25.926
19,2018-08-02 00:18:17,12,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,22.773,23.102,22.959,22.668,22.384,22.110,21.811,21.482,21.128,20.786,20.329,19.661,18.826,18.026,17.358,16.801,16.231,15.612,14.982,14.390,13.882,13.410,12.872,12.271,11.791,11.134,10.214,9.042,7.956,6.912,5.989,5.208,4.521,3.933,3.452,3.071,2.770,2.517,2.281,2.055,1.843,1.661,1.512,1.389,1.276,1.161,1.036,0.908,0.783,0.666,0.559,0.462,0.374,0.298,0.235,0.184,0.143,0.110
20,2018-08-02 00:18:17,13,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,80.401,83.412,84.609,85.368,86.024,86.517,86.798,86.968,87.219,87.045,86.891,86.415,85.402,83.969,83.083,82.689,82.480,81.957,81.266,80.105,79.600,79.350,78.851,77.806,77.046,75.955,74.413,71.326,67.634,63.100,58.994,55.429,52.273,49.630,47.518,46.503,46.021,45.766,45.269,44.734,43.705,42.939,43.075,44.000,44.896,45.337,44.130,42.281,39.875,37.568,35.250,32.800,29.730,26.582,23.715,21.145,19.009,17.024
21,2018-08-02 00:18:17,14,28.600,80.400,1001.700,13.37,0,4.770,0.166,2.771,0.012,0.017,0.021,0.023,0.027,0.026,0.030,0.030,0.033,0.034,0.038,0.042,0.044,0.044,0.042,0.037,0.038,0.037,0.036,0.038,0.037,0.035,0.032,0.034,0.029,0.031,0.027,0.027,0.025,0.026,0.024,0.022,0.020,0.020,0.019,0.018,0.018,0.016,0.016,0.015,0.015,0.013,0.011,0.011,0.011,0.011,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
22,2018-08-02 00:22:09,11,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,28.500,28.296,28.018,27.693,27.412,27.145,26.894,26.633,26.377,26.181,25.904,25.503,25.044,24.642,24.252,23.822,23.325,22.830,22.338,21.886,21.374,20.839,20.261,19.670,19.135,18.345,17.146,15.738,14.422,13.131,11.768,10.417,9.007,7.574,6.188,4.715,3.279,1.909,0.623,-0.692,-1.925,-3.174,-4.530,-6.005,-7.483,-8.916,-10.059,-11.304,-12.550,-13.858,-15.298,-16.862,-18.376,-19.873,-21.497,-23.148,-24.837,-26.656
23,2018-08-02 00:22:09,12,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,22.705,23.040,22.901,22.612,22.331,22.057,21.755,21.431,21.089,20.756,20.302,19.643,18.831,18.056,17.403,16.851,16.288,15.687,15.067,14.483,13.974,13.502,12.970,12.379,11.902,11.246,10.331,9.173,8.100,7.062,6.133,5.349,4.655,4.061,3.570,3.179,2.870,2.608,2.367,2.133,1.914,1.723,1.566,1.437,1.319,1.198,1.068,0.934,0.804,0.683,0.571,0.471,0.381,0.304,0.240,0.187,0.145,0.113
24,2018-08-02 00:22:09,13,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,80.601,82.709,83.473,83.904,84.157,84.357,84.367,84.323,84.162,83.742,83.188,82.312,80.965,79.411,78.242,77.630,77.184,76.467,75.544,74.529,74.070,73.821,73.342,72.463,71.892,71.175,70.224,67.871,64.933,61.293,57.935,55.011,52.372,50.104,48.213,47.313,47.003,46.867,46.437,45.840,44.825,44.092,44.154,45.059,46.104,46.584,45.245,43.523,41.211,38.733,36.307,33.916,30.996,27.952,25.261,22.645,20.341,18.498
25,2018-08-02 00:22:09,14,28.500,80.600,1001.700,-3.47,0,4.821,0.148,6.055,0.012,0.016,0.020,0.021,0.025,0.025,0.028,0.028,0.031,0.032,0.035,0.038,0.040,0.039,0.037,0.033,0.033,0.032,0.032,0.033,0.032,0.030,0.028,0.028,0.024,0.026,0.023,0.023,0.021,0.021,0.020,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.013,0.013,0.012,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26,2018-08-02 00:26:02,11,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,28.600,28.413,28.146,27.828,27.550,27.293,27.048,26.792,26.540,26.351,26.078,25.689,25.237,24.836,24.446,24.018,23.522,23.029,22.541,22.089,21.569,21.029,20.447,19.858,19.322,18.521,17.306,15.886,14.563,13.249,11.854,10.482,9.065,7.622,6.226,4.741,3.295,1.914,0.636,-0.681,-1.918,-3.180,-4.535,-6.026,-7.505,-8.949,-10.087,-11.350,-12.609,-13.923,-15.367,-16.936,-18.463,-19.970,-21.613,-23.273,-24.973,-26.796
27,2018-08-02 00:26:02,12,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,22.801,23.141,23.001,22.711,22.430,22.157,21.856,21.530,21.186,20.852,20.399,19.738,18.921,18.138,17.480,16.926,16.362,15.757,15.132,14.543,14.032,13.558,13.021,12.423,11.941,11.278,10.352,9.183,8.097,7.048,6.114,5.326,4.631,4.035,3.544,3.155,2.847,2.589,2.351,2.118,1.901,1.711,1.556,1.429,1.313,1.193,1.065,0.932,0.803,0.682,0.570,0.470,0.381,0.304,0.239,0.187,0.145,0.113
28,2018-08-02 00:26:02,13,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,80.501,82.541,83.251,83.648,83.889,84.049,84.039,83.968,83.787,83.337,82.778,81.854,80.475,78.904,77.731,77.113,76.670,75.939,74.991,73.967,73.543,73.313,72.835,71.922,71.338,70.636,69.702,67.338,64.350,60.725,57.444,54.547,51.906,49.625,47.739,46.871,46.589,46.506,46.079,45.479,44.495,43.800,43.884,44.874,45.966,46.502,45.212,43.582,41.348,38.874,36.443,34.047,31.218,28.178,25.402,22.890,20.585,18.730
29,2018-08-02 00:26:02,14,28.600,80.500,1001.600,4.4,0,4.829,0.142,4.559,0.012,0.016,0.019,0.021,0.025,0.024,0.027,0.027,0.031,0.031,0.035,0.038,0.039,0.039,0.037,0.032,0.033,0.032,0.032,0.033,0.032,0.030,0.028,0.028,0.024,0.026,0.023,0.023,0.021,0.021,0.020,0.018,0.016,0.017,0.016,0.015,0.015,0.013,0.014,0.013,0.013,0.012,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
30,2018-08-02 00:29:56,11,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,28.500,28.056,27.677,27.267,26.878,26.560,26.255,25.953,25.583,25.345,24.983,24.521,23.993,23.591,23.164,22.748,22.249,21.766,21.273,20.915,20.482,19.976,19.439,18.910,18.453,17.780,16.778,15.558,14.318,13.165,11.924,10.739,9.447,8.112,6.746,5.274,3.855,2.522,1.271,-0.075,-1.285,-2.520,-3.896,-5.349,-6.734,-8.121,-9.241,-10.374,-11.521,-12.812,-14.267,-15.778,-17.189,-18.512,-19.992,-21.617,-23.383,-25.058
31,2018-08-02 00:29:56,12,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,22.761,23.104,22.966,22.676,22.398,22.124,21.821,21.499,21.161,20.830,20.378,19.724,18.923,18.164,17.525,16.983,16.429,15.840,15.228,14.651,14.143,13.671,13.143,12.558,12.081,11.427,10.519,9.378,8.319,7.284,6.347,5.555,4.852,4.245,3.742,3.339,3.018,2.745,2.492,2.245,2.015,1.813,1.646,1.508,1.382,1.253,1.116,0.974,0.835,0.707,0.590,0.485,0.392,0.312,0.246,0.192,0.148,0.115
32,2018-08-02 00:29:56,13,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,80.800,84.037,85.295,86.143,86.937,87.400,87.680,87.849,88.277,88.062,87.920,87.338,86.333,84.784,83.815,83.173,82.797,82.080,81.189,79.750,78.950,78.601,77.984,76.869,75.976,74.791,73.103,70.146,67.112,63.082,59.378,55.981,53.075,50.583,48.724,47.887,47.554,47.317,46.761,46.220,45.113,44.284,44.334,45.101,45.730,45.932,44.467,42.249,39.546,36.961,34.586,32.021,28.960,25.645,22.830,20.415,18.309,16.503
33,2018-08-02 00:29:56,14,28.500,80.800,1001.600,-2.98,0,4.903,0.147,6.084,0.013,0.017,0.021,0.023,0.026,0.026,0.029,0.029,0.032,0.033,0.037,0.039,0.041,0.041,0.038,0.034,0.034,0.034,0.033,0.034,0.033,0.031,0.029,0.029,0.025,0.026,0.023,0.023,0.021,0.022,0.020,0.019,0.017,0.017,0.016,0.016,0.015,0.014,0.014,0.013,0.013,0.012,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
34,2018-08-02 00:33:49,11,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,28.500,28.262,27.964,27.624,27.335,27.057,26.799,26.530,26.265,26.057,25.765,25.339,24.855,24.433,24.025,23.576,23.058,22.541,22.024,21.559,21.035,20.492,19.906,19.306,18.771,17.982,16.796,15.396,14.097,12.825,11.497,10.176,8.792,7.373,5.994,4.533,3.123,1.765,0.476,-0.847,-2.081,-3.325,-4.676,-6.150,-7.629,-9.061,-10.206,-11.445,-12.684,-13.991,-15.414,-16.961,-18.455,-19.944,-21.537,-23.163,-24.829,-26.644
35,2018-08-02 00:33:49,12,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,22.649,22.987,22.848,22.559,22.281,22.007,21.704,21.384,21.052,20.725,20.274,19.623,18.830,18.084,17.453,16.911,16.361,15.780,15.178,14.611,14.107,13.637,13.117,12.545,12.081,11.440,10.548,9.431,8.395,7.382,6.454,5.664,4.959,4.349,3.839,3.428,3.097,2.815,2.554,2.300,2.063,1.855,1.683,1.539,1.408,1.275,1.134,0.988,0.847,0.715,0.597,0.489,0.395,0.315,0.248,0.193,0.150,0.117
36,2018-08-02 00:33:49,13,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,80.401,82.672,83.527,84.026,84.326,84.576,84.613,84.617,84.540,84.197,83.717,82.985,81.828,80.476,79.481,79.002,78.719,78.204,77.489,76.622,76.255,76.077,75.726,75.019,74.556,73.979,73.219,71.244,68.648,65.293,62.008,59.143,56.561,54.355,52.502,51.629,51.260,51.086,50.615,49.962,48.841,47.971,47.937,48.782,49.756,50.123,48.577,46.529,43.851,41.005,38.275,35.519,32.365,29.155,26.210,23.418,21.043,19.150
37,2018-08-02 00:33:49,14,28.500,80.400,1001.500,-0.67,0,4.928,0.142,5.467,0.011,0.016,0.019,0.021,0.024,0.024,0.027,0.027,0.030,0.031,0.034,0.037,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.030,0.027,0.028,0.024,0.025,0.022,0.022,0.020,0.021,0.019,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.013,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
38,2018-08-02 00:37:42,11,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,28.500,28.309,28.037,27.714,27.438,27.180,26.935,26.679,26.429,26.243,25.974,25.584,25.133,24.736,24.352,23.934,23.446,22.963,22.481,22.036,21.525,20.991,20.416,19.829,19.295,18.501,17.303,15.897,14.572,13.265,11.881,10.525,9.109,7.673,6.282,4.802,3.361,1.992,0.720,-0.600,-1.832,-3.084,-4.435,-5.917,-7.390,-8.821,-9.955,-11.206,-12.460,-13.761,-15.195,-16.763,-18.290,-19.792,-21.424,-23.078,-24.773,-26.596
39,2018-08-02 00:37:42,12,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,22.733,23.067,22.926,22.636,22.354,22.078,21.774,21.449,21.109,20.776,20.320,19.659,18.850,18.081,17.433,16.882,16.320,15.723,15.107,14.526,14.017,13.545,13.016,12.431,11.959,11.309,10.401,9.256,8.196,7.168,6.238,5.452,4.755,4.156,3.658,3.261,2.943,2.675,2.425,2.185,1.960,1.764,1.602,1.468,1.345,1.219,1.086,0.949,0.815,0.692,0.578,0.476,0.385,0.307,0.242,0.189,0.146,0.114
40,2018-08-02 00:37:42,13,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,80.701,82.747,83.477,83.896,84.123,84.274,84.249,84.178,83.999,83.533,82.936,82.006,80.642,79.100,77.935,77.280,76.804,76.061,75.125,74.107,73.651,73.404,72.939,72.092,71.560,70.916,70.040,67.831,65.098,61.696,58.518,55.685,53.145,50.944,49.093,48.248,47.944,47.793,47.269,46.647,45.614,44.838,44.843,45.748,46.701,47.074,45.656,43.853,41.492,38.954,36.459,34.009,31.107,28.043,25.319,22.755,20.370,18.567
41,2018-08-02 00:37:42,14,28.500,80.700,1001.500,-3.62,0,4.893,0.136,6.099,0.012,0.017,0.020,0.021,0.025,0.025,0.028,0.028,0.031,0.032,0.035,0.038,0.039,0.039,0.036,0.032,0.032,0.032,0.031,0.032,0.031,0.030,0.027,0.027,0.024,0.025,0.022,0.022,0.020,0.021,0.019,0.018,0.016,0.017,0.015,0.015,0.015,0.013,0.013,0.012,0.013,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
42,2018-08-02 00:41:35,11,28.500,80.700,1001.300,-4.16,0,4.886,0.138,6.080,28.500,28.141,27.788,27.411,27.082,26.774,26.491,26.192,25.880,25.634,25.285,24.788,24.233,23.757,23.285,22.777,22.195,21.617,21.034,20.540,19.995,19.439,18.826,18.211,17.675,16.911,15.758,14.399,13.165,11.989,10.763,9.517,8.202,6.827,5.496,4.070,2.697,1.361,0.079,-1.252,-2.488,-3.725,-5.076,-6.554,-8.015,-9.446,-10.598,-11.816,-13.023,-14.323,-15.723,-17.228,-18.668,-20.087,-21.582,-23.157,-24.794,-26.529
43,2018-08-02 00:41:35,12,28.500,80.700,1001.300,-4.16,0,4.886,0.138,6.080,22.733,23.071,22.934,22.645,22.364,22.090,21.787,21.464,21.127,20.797,20.345,19.690,18.886,18.124,17.479,16.929,16.371,15.778,15.164,14.584,14.073,13.599,13.068,12.480,12.003,11.345,10.428,9.275,8.207,7.171,6.236,5.448,4.750,4.150,3.653,3.256,2.940,2.674,2.428,2.188,1.964,1.767,1.605,1.470,1.349,1.224,1.090,0.953,0.818,0.694,0.581,0.477,0.386,0.308,0.242,0.189,0.146,0.114
44,2018-08-02 00:41:35,13,28.500,80.700,1001.300,-4.16,0,4.886,0.138,6.080,80.701,83.529,84.656,85.342,85.832,86.237,86.398,86.546,86.684,86.512,86.301,85.885,85.002,83.801,83.017,82.774,82.760,82.465,81.971,81.133,80.823,80.687,80.389,79.619,79.052,78.215,77.063,74.455,71.079,66.812,62.748,59.323,56.272,53.742,51.621,50.573,50.077,49.882,49.454,48.893,47.855,47.023,47.063,48.003,49.034,49.508,48.126,46.158,43.513,40.838,38.163,35.391,32.173,28.837,25.660,22.910,20.408,18.457
45,2018-08-02 00:41:35,14,28.500,80.700,1001.300,-4.16,0,4.886,0.138,6.080,0.012,0.016,0.019,0.021,0.025,0.024,0.028,0.027,0.031,0.031,0.034,0.037,0.038,0.038,0.035,0.031,0.031,0.031,0.030,0.032,0.030,0.029,0.027,0.027,0.023,0.024,0.021,0.021,0.019,0.020,0.018,0.017,0.015,0.016,0.014,0.014,0.014,0.013,0.013,0.012,0.012,0.011,0.010,0.010,0.010,0.010,0.007,0.005,0.003,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
46,2018-08-02 00:45:28,11,28.500,80.800,1001.300,-3.64,0,4.893,0.137,6.100,28.500,28.043,27.652,27.236,26.855,26.530,26.226,25.914,25.549,25.293,24.914,24.411,23.846,23.398,22.933,22.464,21.912,21.373,20.822,20.405,19.926,19.397,18.827,18.261,17.780,17.083,16.047,14.795,13.580,12.447,11.247,10.075,8.806,7.471,6.127,4.685,3.301,1.976,0.713,-0.636,-1.859,-3.094,-4.461,-5.926,-7.335,-8.742,-9.873,-11.031,-12.191,-13.488,-14.912,-16.404,-17.805,-19.144,-20.596,-22.183,-23.892,-25.572
47,2018-08-02 00:45:28,12,28.500,80.800,1001.300,-3.64,0,4.893,0.137,6.100,22.761,23.106,22.971,22.683,22.405,22.132,21.832,21.510,21.175,20.848,20.399,19.749,18.951,18.193,17.550,17.005,16.450,15.860,15.246,14.663,14.152,13.676,13.142,12.546,12.062,11.395,10.469,9.303,8.222,7.173,6.230,5.439,4.739,4.138,3.641,3.246,2.933,2.671,2.427,2.191,1.966,1.770,1.609,1.475,1.353,1.229,1.097,0.959,0.823,0.698,0.583,0.479,0.388,0.309,0.243,0.190,0.147,0.114
